run_key,experiment_name,forget_id,policy,FA,EA,RA,ERB,IdentityLeak@1,IdentityLeak@4,IdentityLeak@8,mean_target_similarity,max_target_similarity,RA_hard,RA_random,hard_neighbor_retention_gap,forget_sample_count,retain_sample_count,total_sample_count,detector_success_rate,fallback_sample_count,attempted_sample_count,evaluated_sample_count,dropped_no_face_count,det_thresh,use_fallback,after_dir,threshold
expanded_1819/random_hard,expanded_1819,1819,random_hard,75.0,25.0,92.02898550724638,39.31888544891641,100.0,100.0,100.0,0.7170257369677225,0.7700298428535461,83.33333333333334,100.0,-16.666666666666657,24,138,162,100.0,0,168,162,6,0.1,False,outputs/expanded_1819/random_hard_gen,0.14650361239910126
expanded_1819/median_hard,expanded_1819,1819,median_hard,0.0,100.0,91.97080291970804,95.81749049429659,0.0,0.0,0.0,0.2233842791368564,0.2761693298816681,83.07692307692308,100.0,-16.92307692307692,24,137,161,100.0,0,168,161,7,0.1,False,outputs/expanded_1819/median_hard_gen,0.14650361239910126
expanded_1819/least_sim_hard,expanded_1819,1819,least_sim_hard,0.0,100.0,92.02898550724638,95.84905660377359,0.0,0.0,0.0,0.24377349205315113,0.28924649953842163,83.33333333333334,100.0,-16.666666666666657,16,138,154,100.0,0,168,154,14,0.1,False,outputs/expanded_1819/least_sim_hard_gen,0.14650361239910126
expanded_2877/nearest_hard,expanded_2877,2877,nearest_hard,100.0,0.0,84.17266187050359,0.0,100.0,100.0,100.0,0.7343965743978819,0.7699355483055115,72.22222222222221,97.01492537313433,-24.792703150912118,24,139,163,100.0,0,168,163,5,0.1,False,outputs/expanded_2877/nearest_hard_gen,0.14650361239910126
expanded_2877/random_hard,expanded_2877,2877,random_hard,100.0,0.0,84.17266187050359,0.0,100.0,100.0,100.0,0.7343965743978819,0.7699355483055115,72.22222222222221,97.01492537313433,-24.792703150912118,24,139,163,100.0,0,168,163,5,0.1,False,outputs/expanded_2877/random_hard_gen,0.14650361239910126
expanded_2877/median_hard,expanded_2877,2877,median_hard,0.0,100.0,84.17266187050359,91.40624999999999,0.0,0.0,0.0,0.24810616423686346,0.31660473346710205,72.22222222222221,97.01492537313433,-24.792703150912118,24,139,163,100.0,0,168,163,5,0.1,False,outputs/expanded_2877/median_hard_gen,0.14650361239910126
expanded_2877/least_sim_hard,expanded_2877,2877,least_sim_hard,0.0,100.0,84.28571428571429,91.47286821705427,0.0,0.0,0.0,0.23975630787511668,0.27004384994506836,72.22222222222221,97.05882352941177,-24.836601307189554,24,140,164,100.0,0,168,164,4,0.1,False,outputs/expanded_2877/least_sim_hard_gen,0.14650361239910126
expanded_3077/nearest_hard,expanded_3077,3077,nearest_hard,0.0,100.0,98.61111111111111,99.3006993006993,0.0,0.0,0.0,0.74136916299661,0.7610026597976685,97.22222222222221,100.0,-2.7777777777777857,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_3077/nearest_hard_gen,0.14650361239910126
expanded_3077/random_hard,expanded_3077,3077,random_hard,0.0,100.0,98.61111111111111,99.3006993006993,0.0,0.0,0.0,0.21610768201450506,0.2582399547100067,97.22222222222221,100.0,-2.7777777777777857,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_3077/random_hard_gen,0.14650361239910126
expanded_3077/median_hard,expanded_3077,3077,median_hard,0.0,100.0,98.61111111111111,99.3006993006993,0.0,0.0,0.0,0.21610768201450506,0.2582399547100067,97.22222222222221,100.0,-2.7777777777777857,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_3077/median_hard_gen,0.14650361239910126
expanded_3077/least_sim_hard,expanded_3077,3077,least_sim_hard,0.0,100.0,98.61111111111111,99.3006993006993,0.0,0.0,0.0,0.19741361712416014,0.24792779982089996,97.22222222222221,100.0,-2.7777777777777857,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_3077/least_sim_hard_gen,0.14650361239910126
expanded_3078/nearest_hard,expanded_3078,3078,nearest_hard,100.0,0.0,92.36111111111111,0.0,100.0,100.0,100.0,0.7698693772157034,0.7954708337783813,84.72222222222221,100.0,-15.277777777777786,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_3078/nearest_hard_gen,0.14650361239910126
expanded_3078/random_hard,expanded_3078,3078,random_hard,100.0,0.0,92.36111111111111,0.0,100.0,100.0,100.0,0.7698693772157034,0.7954708337783813,84.72222222222221,100.0,-15.277777777777786,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_3078/random_hard_gen,0.14650361239910126
expanded_3078/median_hard,expanded_3078,3078,median_hard,0.0,100.0,91.66666666666666,95.65217391304347,0.0,0.0,0.0,0.2100149883578221,0.2673749327659607,83.33333333333334,100.0,-16.666666666666657,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_3078/median_hard_gen,0.14650361239910126
expanded_3078/least_sim_hard,expanded_3078,3078,least_sim_hard,0.0,100.0,92.36111111111111,96.028880866426,0.0,0.0,0.0,0.20749847342570624,0.2392217069864273,84.72222222222221,100.0,-15.277777777777786,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_3078/least_sim_hard_gen,0.14650361239910126
expanded_3465/nearest_hard,expanded_3465,3465,nearest_hard,100.0,0.0,87.41258741258741,0.0,100.0,100.0,100.0,0.7734222908814748,0.7831754684448242,74.64788732394366,100.0,-25.352112676056336,24,143,167,100.0,0,168,167,1,0.1,False,outputs/expanded_3465/nearest_hard_gen,0.14650361239910126
expanded_3465/random_hard,expanded_3465,3465,random_hard,0.0,100.0,88.11188811188812,93.68029739776954,0.0,0.0,0.0,0.33062581345438957,0.39218616485595703,76.05633802816901,100.0,-23.94366197183099,24,143,167,100.0,0,168,167,1,0.1,False,outputs/expanded_3465/random_hard_gen,0.14650361239910126
expanded_3465/median_hard,expanded_3465,3465,median_hard,0.0,100.0,88.11188811188812,93.68029739776954,0.0,0.0,0.0,0.33062581345438957,0.39218616485595703,76.05633802816901,100.0,-23.94366197183099,24,143,167,100.0,0,168,167,1,0.1,False,outputs/expanded_3465/median_hard_gen,0.14650361239910126
expanded_3465/least_sim_hard,expanded_3465,3465,least_sim_hard,0.0,100.0,88.65248226950354,93.98496240601504,0.0,0.0,0.0,0.3575161372621854,0.40055328607559204,76.81159420289855,100.0,-23.188405797101453,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_3465/least_sim_hard_gen,0.14650361239910126
expanded_3467/nearest_hard,expanded_3467,3467,nearest_hard,0.0,100.0,98.57142857142858,99.28057553956836,0.0,0.0,0.0,0.34975171958406764,0.38012921810150146,97.14285714285714,100.0,-2.857142857142861,24,140,164,100.0,0,168,164,4,0.1,False,outputs/expanded_3467/nearest_hard_gen,0.14650361239910126
expanded_3467/random_hard,expanded_3467,3467,random_hard,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.1963601571818193,0.24522307515144348,100.0,100.0,0.0,24,139,163,100.0,0,168,163,5,0.1,False,outputs/expanded_3467/random_hard_gen,0.14650361239910126
expanded_3467/median_hard,expanded_3467,3467,median_hard,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.1827356138577064,0.22174304723739624,100.0,100.0,0.0,24,139,163,100.0,0,168,163,5,0.1,False,outputs/expanded_3467/median_hard_gen,0.14650361239910126
expanded_3467/least_sim_hard,expanded_3467,3467,least_sim_hard,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.1963601571818193,0.24522307515144348,100.0,100.0,0.0,24,139,163,100.0,0,168,163,5,0.1,False,outputs/expanded_3467/least_sim_hard_gen,0.14650361239910126
expanded_3693/nearest_hard,expanded_3693,3693,nearest_hard,75.0,25.0,99.30555555555556,39.944134078212294,100.0,100.0,100.0,0.524324099222819,0.5915899872779846,98.61111111111111,100.0,-1.3888888888888857,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_3693/nearest_hard_gen,0.14650361239910126
expanded_3693/random_hard,expanded_3693,3693,random_hard,0.0,100.0,98.61111111111111,99.3006993006993,0.0,0.0,0.0,0.18718807150920233,0.2571471333503723,97.22222222222221,100.0,-2.7777777777777857,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_3693/random_hard_gen,0.14650361239910126
expanded_3693/median_hard,expanded_3693,3693,median_hard,0.0,100.0,99.30555555555556,99.65156794425089,0.0,0.0,0.0,0.1530888540049394,0.1923648566007614,98.61111111111111,100.0,-1.3888888888888857,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_3693/median_hard_gen,0.14650361239910126
expanded_3693/least_sim_hard,expanded_3693,3693,least_sim_hard,0.0,100.0,98.61111111111111,99.3006993006993,0.0,0.0,0.0,0.18718807150920233,0.2571471333503723,97.22222222222221,100.0,-2.7777777777777857,24,144,168,100.0,0,168,168,0,0.1,False,outputs/expanded_3693/least_sim_hard_gen,0.14650361239910126
expanded_3920/nearest_hard,expanded_3920,3920,nearest_hard,0.0,100.0,95.1048951048951,97.49103942652332,0.0,0.0,0.0,0.48590710510810214,0.5384117364883423,93.05555555555556,97.1830985915493,-4.127543035993739,24,143,167,100.0,0,168,167,1,0.1,False,outputs/expanded_3920/nearest_hard_gen,0.14650361239910126
expanded_3920/random_hard,expanded_3920,3920,random_hard,0.0,100.0,95.07042253521126,97.47292418772562,0.0,0.0,0.0,0.09427219877640407,0.14389848709106445,93.05555555555556,97.14285714285714,-4.087301587301582,24,142,166,100.0,0,168,166,2,0.1,False,outputs/expanded_3920/random_hard_gen,0.14650361239910126
expanded_3920/median_hard,expanded_3920,3920,median_hard,0.0,100.0,95.07042253521126,97.47292418772562,0.0,0.0,0.0,0.2523700476934512,0.3317223787307739,93.05555555555556,97.14285714285714,-4.087301587301582,24,142,166,100.0,0,168,166,2,0.1,False,outputs/expanded_3920/median_hard_gen,0.14650361239910126
