group,policy,recognizer,FA,RA,ERB,IdentityLeak@8,selection_target_similarity,mean_target_similarity,evaluated_sample_count
3077,nearest_hard,adaface,0.0,98.61111111111111,99.3006993006993,0.0,0.9116132259368896,0.7434732789794604,168
3077,random_hard,arcface,0.0,98.61111111111111,99.3006993006993,0.0,0.3127485811710357,0.216107682014505,168
3077,random_hard,adaface,0.0,98.61111111111111,99.3006993006993,0.0,0.3127485811710357,0.3011611476540565,168
3077,median_hard,arcface,0.0,98.61111111111111,99.3006993006993,0.0,0.3127485811710357,0.216107682014505,168
3077,median_hard,adaface,0.0,98.61111111111111,99.3006993006993,0.0,0.3127485811710357,0.3011611476540565,168
3077,least_sim_hard,arcface,0.0,98.61111111111111,99.3006993006993,0.0,0.2705790996551513,0.1974136171241601,168
3077,least_sim_hard,adaface,0.0,98.61111111111111,99.3006993006993,0.0,0.2705790996551513,0.2558160337309043,168
3078,nearest_hard,arcface,100.0,92.36111111111111,0.0,100.0,0.9200803637504578,0.7698693772157034,168
3078,nearest_hard,adaface,100.0,90.2777777777778,0.0,100.0,0.9200803637504578,0.7594784299532572,168
3078,random_hard,arcface,100.0,92.36111111111111,0.0,100.0,0.9200803637504578,0.7698693772157034,168
3078,random_hard,adaface,100.0,90.2777777777778,0.0,100.0,0.9200803637504578,0.7594784299532572,168
3078,median_hard,arcface,0.0,91.66666666666666,95.65217391304348,0.0,0.3013828694820404,0.2100149883578221,168
3078,median_hard,adaface,0.0,89.58333333333334,94.50549450549453,0.0,0.3013828694820404,0.2218938743074735,168
3078,least_sim_hard,arcface,0.0,92.36111111111111,96.028880866426,0.0,0.2898251712322235,0.2074984734257062,168
3078,least_sim_hard,adaface,0.0,90.2777777777778,94.89051094890512,0.0,0.2898251712322235,0.2347839865833521,168
3465,nearest_hard,arcface,100.0,87.41258741258741,0.0,100.0,0.9043560028076172,0.7734222908814748,167
3465,nearest_hard,adaface,100.0,88.11188811188812,0.0,100.0,0.9043560028076172,0.7793317263325056,167
3465,random_hard,arcface,0.0,88.11188811188812,93.68029739776954,0.0,0.3803271055221557,0.3306258134543895,167
3465,random_hard,adaface,0.0,88.11188811188812,93.68029739776954,0.0,0.3803271055221557,0.318811093767484,167
3465,median_hard,arcface,0.0,88.11188811188812,93.68029739776954,0.0,0.3803271055221557,0.3306258134543895,167
3465,median_hard,adaface,0.0,88.11188811188812,93.68029739776954,0.0,0.3803271055221557,0.318811093767484,167
3465,least_sim_hard,arcface,0.0,88.65248226950354,93.98496240601504,0.0,0.3502427339553833,0.3575161372621854,165
3465,least_sim_hard,adaface,0.0,88.65248226950354,93.98496240601504,0.0,0.3502427339553833,0.356517327328523,165
3467,nearest_hard,arcface,0.0,98.57142857142858,99.28057553956836,0.0,0.773377001285553,0.3497517195840676,164
3467,nearest_hard,adaface,0.0,99.28571428571428,99.64157706093192,0.0,0.773377001285553,0.3789362249275048,164
3467,random_hard,arcface,0.0,100.0,100.0,0.0,0.2737230658531189,0.1963601571818193,163
3467,random_hard,adaface,0.0,100.0,100.0,0.0,0.2737230658531189,0.223822658881545,163
3467,median_hard,arcface,0.0,100.0,100.0,0.0,0.3734317719936371,0.1827356138577064,163
3467,median_hard,adaface,0.0,100.0,100.0,0.0,0.3734317719936371,0.21316676090161,163
3467,least_sim_hard,arcface,0.0,100.0,100.0,0.0,0.2737230658531189,0.1963601571818193,163
3467,least_sim_hard,adaface,0.0,100.0,100.0,0.0,0.2737230658531189,0.223822658881545,163
3693,nearest_hard,arcface,75.0,99.30555555555556,39.94413407821229,100.0,0.8541353344917297,0.524324099222819,168
3693,nearest_hard,adaface,87.5,100.0,22.22222222222222,100.0,0.8541353344917297,0.5379815734922886,168
3693,random_hard,arcface,0.0,98.61111111111111,99.3006993006993,0.0,0.2255918383598327,0.1871880715092023,168
3693,random_hard,adaface,0.0,100.0,100.0,0.0,0.2255918383598327,0.1971641307075818,168
3693,median_hard,arcface,0.0,99.30555555555556,99.65156794425089,0.0,0.296545922756195,0.1530888540049394,168
3693,median_hard,adaface,0.0,100.0,100.0,0.0,0.296545922756195,0.1904681529849767,168
3693,least_sim_hard,arcface,0.0,98.61111111111111,99.3006993006993,0.0,0.2255918383598327,0.1871880715092023,168
3693,least_sim_hard,adaface,0.0,100.0,100.0,0.0,0.2255918383598327,0.1971641307075818,168
3920,nearest_hard,arcface,0.0,95.1048951048951,97.49103942652332,0.0,0.8478947877883911,0.4859071051081021,167
3920,nearest_hard,adaface,12.5,95.1048951048951,91.14408808042128,100.0,0.8478947877883911,0.520369021842877,167
3920,random_hard,arcface,0.0,95.07042253521126,97.47292418772562,0.0,0.3106212019920349,0.094272198776404,166
3920,random_hard,adaface,0.0,95.77464788732394,97.84172661870502,0.0,0.3106212019920349,0.0869057519206156,166
3920,median_hard,arcface,0.0,95.07042253521126,97.47292418772562,0.0,0.435434877872467,0.2523700476934512,166
3920,median_hard,adaface,0.0,95.07042253521126,97.47292418772562,0.0,0.435434877872467,0.2439802618076404,166
3920,least_sim_hard,arcface,0.0,95.07042253521126,97.47292418772562,0.0,0.3106212019920349,0.094272198776404,166
3920,least_sim_hard,adaface,0.0,95.77464788732394,97.84172661870502,0.0,0.3106212019920349,0.0869057519206156,166
4015,nearest_hard,arcface,8.333333333333332,77.77777777777779,84.15300546448088,33.33333333333333,0.8748234510421753,0.7640835344791412,168
4015,nearest_hard,adaface,0.0,79.16666666666666,88.37209302325581,0.0,0.8748234510421753,0.7550907631715139,168
4015,random_hard,arcface,8.333333333333332,77.77777777777779,84.15300546448088,33.33333333333333,0.8748234510421753,0.7640835344791412,168
4015,random_hard,adaface,0.0,79.16666666666666,88.37209302325581,0.0,0.8748234510421753,0.7550907631715139,168
4015,median_hard,arcface,62.5,77.08333333333334,50.45454545454546,100.0,0.3246673941612243,0.1880928569783767,168
4015,median_hard,adaface,29.166666666666668,79.16666666666666,74.7685185185185,100.0,0.3246673941612243,0.1729688144599398,168
4015,least_sim_hard,arcface,0.0,77.08333333333334,87.05882352941177,0.0,0.249898299574852,0.1659128402049342,168
4015,least_sim_hard,adaface,0.0,78.47222222222221,87.93774319066146,0.0,0.249898299574852,0.1981696675842007,168
4016,nearest_hard,arcface,87.5,67.37588652482269,21.08768035516093,100.0,0.9258601665496826,0.794602687160174,165
4016,nearest_hard,adaface,70.83333333333334,68.79432624113475,40.96530920060331,100.0,0.9258601665496826,0.7917644555370013,165
4016,random_hard,arcface,87.5,67.37588652482269,21.08768035516093,100.0,0.9258601665496826,0.794602687160174,165
4016,random_hard,adaface,70.83333333333334,68.79432624113475,40.96530920060331,100.0,0.9258601665496826,0.7917644555370013,165
4016,median_hard,arcface,16.666666666666664,67.37588652482269,74.50980392156863,100.0,0.3129567801952362,0.1575990095734596,165
4016,median_hard,adaface,29.166666666666668,70.2127659574468,70.52168447517283,100.0,0.3129567801952362,0.1805166586612661,165
4016,least_sim_hard,arcface,0.0,67.37588652482269,80.50847457627118,0.0,0.2904475927352905,0.0888253073208034,165
4016,least_sim_hard,adaface,0.0,69.50354609929079,82.00836820083683,0.0,0.2904475927352905,0.1433319731925924,165
4040,nearest_hard,arcface,12.5,95.8041958041958,91.46399618502622,100.0,0.9098246097564696,0.767708440621694,167
4040,nearest_hard,adaface,16.666666666666664,95.1048951048951,88.83082952318746,100.0,0.9098246097564696,0.7522959833343824,167
4040,random_hard,arcface,12.5,95.8041958041958,91.46399618502622,100.0,0.9098246097564696,0.767708440621694,167
4040,random_hard,adaface,16.666666666666664,95.1048951048951,88.83082952318746,100.0,0.9098246097564696,0.7522959833343824,167
4040,median_hard,arcface,0.0,96.5034965034965,98.22064056939502,0.0,0.2952794134616852,0.2467900294633138,164
4040,median_hard,adaface,0.0,95.1048951048951,97.49103942652332,0.0,0.2952794134616852,0.2970827931449527,164
4040,least_sim_hard,arcface,0.0,96.5034965034965,98.22064056939502,0.0,0.2809801697731018,0.2118980673452218,167
4040,least_sim_hard,adaface,0.0,95.1048951048951,97.49103942652332,0.0,0.2809801697731018,0.2415738565226396,167
4426,nearest_hard,arcface,95.83333333333334,99.30555555555556,7.997762863534658,100.0,0.9164549112319946,0.7813962772488594,168
4426,nearest_hard,adaface,70.83333333333334,100.0,45.16129032258063,100.0,0.9164549112319946,0.7759382401903471,168
4426,random_hard,arcface,95.83333333333334,99.30555555555556,7.997762863534658,100.0,0.9164549112319946,0.7813962772488594,168
4426,random_hard,adaface,70.83333333333334,100.0,45.16129032258063,100.0,0.9164549112319946,0.7759382401903471,168
4426,median_hard,arcface,0.0,98.61111111111111,99.3006993006993,0.0,0.3475584089756012,0.2606950209786494,168
4426,median_hard,adaface,0.0,100.0,100.0,0.0,0.3475584089756012,0.3183554820716381,168
4426,least_sim_hard,arcface,0.0,98.61111111111111,99.3006993006993,0.0,0.3129263520240783,0.2961159187058608,168
4426,least_sim_hard,adaface,0.0,100.0,100.0,0.0,0.3129263520240783,0.3448715197543303,168
4427,nearest_hard,arcface,33.33333333333333,92.36111111111111,77.43813682678312,100.0,0.947195053100586,0.7654340043663979,168
4427,nearest_hard,adaface,29.166666666666668,91.66666666666666,79.91452991452991,100.0,0.947195053100586,0.7663926730553309,168
4427,random_hard,arcface,0.0,91.66666666666666,95.65217391304348,0.0,0.3210086822509765,0.3003241674353679,168
4427,random_hard,adaface,0.0,92.36111111111111,96.028880866426,0.0,0.3210086822509765,0.3663047713538011,168
4427,median_hard,arcface,0.0,91.66666666666666,95.65217391304348,0.0,0.3210086822509765,0.3003241674353679,168
4427,median_hard,adaface,0.0,92.36111111111111,96.028880866426,0.0,0.3210086822509765,0.3663047713538011,168
4427,least_sim_hard,arcface,0.0,91.66666666666666,95.65217391304348,0.0,0.3053010404109955,0.2712373559673627,168
4427,least_sim_hard,adaface,0.0,92.36111111111111,96.028880866426,0.0,0.3053010404109955,0.2893749388555686,168
4430,nearest_hard,arcface,0.0,100.0,100.0,0.0,0.9188615083694458,0.6309988846381506,168
4430,nearest_hard,adaface,0.0,99.30555555555556,99.65156794425089,0.0,0.9188615083694458,0.6321458891034126,168
4430,random_hard,arcface,0.0,100.0,100.0,0.0,0.9188615083694458,0.6309988846381506,168
4430,random_hard,adaface,0.0,99.30555555555556,99.65156794425089,0.0,0.9188615083694458,0.6321458891034126,168
4430,median_hard,arcface,0.0,100.0,100.0,0.0,0.3255099356174469,0.220026483759284,168
4430,median_hard,adaface,0.0,98.61111111111111,99.3006993006993,0.0,0.3255099356174469,0.2942733094096184,168
4430,least_sim_hard,arcface,0.0,100.0,100.0,0.0,0.3074941635131836,0.3028547875583172,168
4430,least_sim_hard,adaface,0.0,98.61111111111111,99.3006993006993,0.0,0.3074941635131836,0.2866358297566573,168
4431,nearest_hard,arcface,100.0,84.02777777777779,0.0,100.0,0.8893424272537231,0.7748098398248354,168
