run_key,experiment_name,forget_id,policy,candidate_index,candidate_identity,similarity_to_forget,similarity_rank_ascending,selected
expanded_3078/nearest_hard,expanded_3078,3078,nearest_hard,3,4367,0.2898251712322235,1,False
expanded_3078/random_hard,expanded_3078,3078,random_hard,1,3077,0.9200803637504578,3,True
expanded_3078/random_hard,expanded_3078,3078,random_hard,2,5240,0.3013828694820404,2,False
expanded_3078/random_hard,expanded_3078,3078,random_hard,3,4367,0.2898251712322235,1,False
expanded_3078/median_hard,expanded_3078,3078,median_hard,1,3077,0.9200803637504578,3,False
expanded_3078/median_hard,expanded_3078,3078,median_hard,2,5240,0.3013828694820404,2,True
expanded_3078/median_hard,expanded_3078,3078,median_hard,3,4367,0.2898251712322235,1,False
expanded_3078/least_sim_hard,expanded_3078,3078,least_sim_hard,1,3077,0.9200803637504578,3,False
expanded_3078/least_sim_hard,expanded_3078,3078,least_sim_hard,2,5240,0.3013828694820404,2,False
expanded_3078/least_sim_hard,expanded_3078,3078,least_sim_hard,3,4367,0.2898251712322235,1,True
expanded_3465/nearest_hard,expanded_3465,3465,nearest_hard,1,3467,0.9043560028076172,3,True
expanded_3465/nearest_hard,expanded_3465,3465,nearest_hard,2,7624,0.38032710552215576,2,False
expanded_3465/nearest_hard,expanded_3465,3465,nearest_hard,3,2882,0.3502427339553833,1,False
expanded_3465/random_hard,expanded_3465,3465,random_hard,1,3467,0.9043560028076172,3,False
expanded_3465/random_hard,expanded_3465,3465,random_hard,2,7624,0.38032710552215576,2,True
expanded_3465/random_hard,expanded_3465,3465,random_hard,3,2882,0.3502427339553833,1,False
expanded_3465/median_hard,expanded_3465,3465,median_hard,1,3467,0.9043560028076172,3,False
expanded_3465/median_hard,expanded_3465,3465,median_hard,2,7624,0.38032710552215576,2,True
expanded_3465/median_hard,expanded_3465,3465,median_hard,3,2882,0.3502427339553833,1,False
expanded_3465/least_sim_hard,expanded_3465,3465,least_sim_hard,1,3467,0.9043560028076172,3,False
expanded_3465/least_sim_hard,expanded_3465,3465,least_sim_hard,2,7624,0.38032710552215576,2,False
expanded_3465/least_sim_hard,expanded_3465,3465,least_sim_hard,3,2882,0.3502427339553833,1,True
expanded_3467/nearest_hard,expanded_3467,3467,nearest_hard,1,3465,0.773377001285553,3,True
expanded_3467/nearest_hard,expanded_3467,3467,nearest_hard,2,7624,0.3734317719936371,2,False
expanded_3467/nearest_hard,expanded_3467,3467,nearest_hard,3,2882,0.2737230658531189,1,False
expanded_3467/random_hard,expanded_3467,3467,random_hard,1,3465,0.773377001285553,3,False
expanded_3467/random_hard,expanded_3467,3467,random_hard,2,7624,0.3734317719936371,2,False
expanded_3467/random_hard,expanded_3467,3467,random_hard,3,2882,0.2737230658531189,1,True
expanded_3467/median_hard,expanded_3467,3467,median_hard,1,3465,0.773377001285553,3,False
expanded_3467/median_hard,expanded_3467,3467,median_hard,2,7624,0.3734317719936371,2,True
expanded_3467/median_hard,expanded_3467,3467,median_hard,3,2882,0.2737230658531189,1,False
expanded_3467/least_sim_hard,expanded_3467,3467,least_sim_hard,1,3465,0.773377001285553,3,False
expanded_3467/least_sim_hard,expanded_3467,3467,least_sim_hard,2,7624,0.3734317719936371,2,False
expanded_3467/least_sim_hard,expanded_3467,3467,least_sim_hard,3,2882,0.2737230658531189,1,True
expanded_3693/nearest_hard,expanded_3693,3693,nearest_hard,1,3920,0.8541353344917297,3,True
expanded_3693/nearest_hard,expanded_3693,3693,nearest_hard,2,3918,0.22559183835983276,1,False
expanded_3693/nearest_hard,expanded_3693,3693,nearest_hard,3,5747,0.29654592275619507,2,False
expanded_3693/random_hard,expanded_3693,3693,random_hard,1,3920,0.8541353344917297,3,False
expanded_3693/random_hard,expanded_3693,3693,random_hard,2,3918,0.22559183835983276,1,True
